,Group,Class,PC1,PC2
610,Icelandic.HO,PCA,-115.788726725444,-14.8662261736436
611,Hungarian.HO,PCA,-93.0001280817051,-8.5267641454718
612,Hungarian.HO,PCA,-89.0247510253332,-10.7133971104791
613,Czech.HO,PCA,-102.630123029807,-5.82104528399454
614,Icelandic.HO,PCA,-112.495240234223,-9.08751636758221
615,Hungarian.HO,PCA,-85.7026872229352,0.727704841550701
616,Czech.HO,PCA,-104.146661274642,-4.7900900874905
617,Czech.HO,PCA,-106.406634960376,-2.71467829715541
618,Icelandic.HO,PCA,-123.968008150511,-13.6726886967544
619,Greek.HO,PCA,-4.40030598636032,6.90214223978366
620,Scottish.HO,PCA,-110.197369091422,-14.9328563416467
621,Scottish.HO,PCA,-95.889792949851,-6.54430259352371
622,Scottish.HO,PCA,-109.106795312128,-22.7224835719122
623,Scottish.HO,PCA,-107.296296791063,-11.4028930683876
624,English.HO,PCA,-104.553774114667,-24.0884051099272
625,English.HO,PCA,-103.835689445747,-24.5968047351326
626,English.HO,PCA,-92.9205332082874,-15.0889723922152
627,English.HO,PCA,-94.7428126918376,-18.6622740346336
628,English.HO,PCA,-98.8139345725266,-27.2514720764237
629,English.HO,PCA,-101.870264945049,-17.2914869426646
630,English.HO,PCA,-95.7222643038719,-13.6905075904618
631,Spanish.HO,PCA,-44.3057882561692,-41.0583959368346
632,Spanish.HO,PCA,-44.3477565970189,-39.1344809481691
633,Spanish.HO,PCA,-64.7606679190276,-46.154743357312
634,Spanish.HO,PCA,-49.7185505269472,-55.8823101136079
635,Spanish.HO,PCA,-53.1107772170182,-41.0743489387151
636,Spanish.HO,PCA,-57.8486304780296,-39.5293056107012
637,Spanish.HO,PCA,-36.1567989766909,-43.4048335569776
638,Spanish.HO,PCA,-54.60180372377,-40.556188807399
639,Spanish.HO,PCA,-72.7097457561523,-43.1336492006813
640,Spanish.HO,PCA,-70.4818911990186,-46.4767645780646
641,Spanish_North.HO,PCA,-83.7592065712223,-53.2533251630249
642,Spanish_North.HO,PCA,-90.059324839072,-55.9458302208683
643,Spanish_North.HO,PCA,-87.3795391285128,-51.3205941263469
644,Spanish.HO,PCA,-51.1051453580453,-44.9653195058234
645,Spanish.HO,PCA,-35.924006696382,-39.9916940201259
646,Spanish.HO,PCA,-49.0680582224795,-43.6796327989789
647,Spanish.HO,PCA,-53.9592004778213,-35.2158829871898
648,Spanish.HO,PCA,-68.3340281118521,-37.6882162339528
649,Spanish.HO,PCA,-60.2795096358459,-25.8790446610627
650,Spanish.HO,PCA,-61.5067400726947,-38.8736700594578
