Genetic_ID,Master_ID,Data_source,Group_ID,political_entity,epoch
CHK002,CHK002,1240K,Kyrgyzstan_Saka_IA,Kyrgyzstan,Late Iron Age (LIA)
CHK003,CHK003,1240K,Kyrgyzstan_Saka_IA,Kyrgyzstan,Late Iron Age (LIA)
CHK005,CHK005,1240K,Kyrgyzstan_Saka_IA,Kyrgyzstan,Classical Antiquity (CA)
KEN001,KEN001,1240K,Kyrgyzstan_Saka_IA,Kyrgyzstan,Late Iron Age (LIA)
KEN002,KEN002,1240K,Kyrgyzstan_Saka_IA,Kyrgyzstan,Late Iron Age (LIA)
KEN003,KEN003,1240K,Kyrgyzstan_Saka_IA,Kyrgyzstan,Late Iron Age (LIA)
DA100_noUDG.SG,DA100,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA101_noUDG.SG,DA101,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA104_noUDG.SG,DA104,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA385_noUDG.SG,DA385,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Early Middle Ages (EMA)
DA52_noUDG.SG,DA52,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Early Middle Ages (EMA)
DA54_noUDG.SG,DA54,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA65_noUDG.SG,DA65,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA66_noUDG.SG,DA66,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Early Middle Ages (EMA)
DA68_noUDG.SG,DA68,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Early Middle Ages (EMA)
DA69_noUDG.SG,DA69,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA72_noUDG.SG,DA72,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA73_noUDG.SG,DA73,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA74_noUDG.SG,DA74,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA80_noUDG.SG,DA80,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA82_noUDG.SG,DA82,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA96_noUDG.SG,DA96,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA71_noUDG.SG,DA71,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA105_noUDG.SG,DA105,Shotgun,Kyrgyzstan_TianShan_Hun.SG,Kyrgyzstan,Classical Antiquity (CA)
DA47_noUDG.SG,DA47,Shotgun,Kyrgyzstan_TianShan_Saka.SG,Kyrgyzstan,Classical Antiquity (CA)
DA48_noUDG.SG,DA48,Shotgun,Kyrgyzstan_TianShan_Saka.SG,Kyrgyzstan,Classical Antiquity (CA)
DA49_noUDG.SG,DA49,Shotgun,Kyrgyzstan_TianShan_Saka.SG,Kyrgyzstan,Late Iron Age (LIA)
DA50_noUDG.SG,DA50,Shotgun,Kyrgyzstan_TianShan_Saka.SG,Kyrgyzstan,Late Iron Age (LIA)
DA51_noUDG.SG,DA51,Shotgun,Kyrgyzstan_TianShan_Saka.SG,Kyrgyzstan,Late Iron Age (LIA)
DA55_noUDG.SG,DA55,Shotgun,Kyrgyzstan_TianShan_Saka.SG,Kyrgyzstan,Classical Antiquity (CA)
DA57_noUDG.SG,DA57,Shotgun,Kyrgyzstan_TianShan_Saka.SG,Kyrgyzstan,Classical Antiquity (CA)
DA58_noUDG.SG,DA58,Shotgun,Kyrgyzstan_TianShan_Saka.SG,Kyrgyzstan,Classical Antiquity (CA)
DA59_noUDG.SG,DA59,Shotgun,Kyrgyzstan_TianShan_Saka.SG,Kyrgyzstan,Late Iron Age (LIA)
DA86_noUDG.SG,DA86,Shotgun,Kyrgyzstan_Turk.SG,Kyrgyzstan,Early Middle Ages (EMA)
Kivutkalns153,Kivutkalns153,1240K,Latvia_BA,Latvia,Middle Iron Age (MIA)
Kivutkalns164,Kivutkalns164,1240K,Latvia_BA,Latvia,Late Iron Age (LIA)
Kivutkalns19,Kivutkalns19,1240K,Latvia_BA,Latvia,Late Iron Age (LIA)
Kivutkalns194,Kivutkalns194,1240K,Latvia_BA,Latvia,Late Iron Age (LIA)
Kivutkalns207,Kivutkalns207,1240K,Latvia_BA,Latvia,Middle Iron Age (MIA)
Kivutkalns209,Kivutkalns209,1240K,Latvia_BA,Latvia,Middle Iron Age (MIA)
Kivutkalns215,Kivutkalns215,1240K,Latvia_BA,Latvia,Late Iron Age (LIA)
Kivutkalns222,Kivutkalns222,1240K,Latvia_BA,Latvia,Late Iron Age (LIA)
Kivutkalns25,Kivutkalns25,1240K,Latvia_BA,Latvia,Middle Iron Age (MIA)
Kivutkalns42,Kivutkalns42,1240K,Latvia_BA,Latvia,Middle Iron Age (MIA)
I4432,I4432,1240K,Latvia_HG,Latvia,Mesolithic
I4434,I4434,1240K,Latvia_HG,Latvia,Mesolithic
I4438,I4438,1240K,Latvia_HG,Latvia,Mesolithic
I4439,I4439,1240K,Latvia_HG,Latvia,Mesolithic
I4440,I4440,1240K,Latvia_HG,Latvia,Mesolithic
I4441,I4441,1240K,Latvia_HG,Latvia,Early Neolithic (EN)
I4550,I4550,1240K,Latvia_HG,Latvia,Mesolithic
I4551,I4551,1240K,Latvia_HG,Latvia,Mesolithic
I4552,I4552,1240K,Latvia_HG,Latvia,Mesolithic
I4553,I4553,1240K,Latvia_HG,Latvia,Mesolithic
I4595,I4595,1240K,Latvia_HG,Latvia,Mesolithic
I4596,I4596,1240K,Latvia_HG,Latvia,Mesolithic
I4626,I4626,1240K,Latvia_HG,Latvia,Mesolithic
I4628,I4628,1240K,Latvia_HG,Latvia,Mesolithic
I4630,I4630,1240K,Latvia_HG,Latvia,Mesolithic
I4632,I4632,1240K,Latvia_HG,Latvia,Mesolithic
Latvia_HG3_noUDG.SG,I4628,Shotgun,Latvia_HG,Latvia,Mesolithic
Latvia_HG1_noUDG.SG,I4632,Shotgun,Latvia_HG,Latvia,Mesolithic
Latvia_HG2_noUDG.SG,I4626,Shotgun,Latvia_HG.SG,Latvia,Mesolithic
I4629,I4629,1240K,Latvia_LN_CordedWare,Latvia,Late Neolithic (LN)
Latvia_LN1_noUDG.SG,I4629,Shotgun,Latvia_LN_CordedWare.SG,Latvia,Late Neolithic (LN)
I4437,I4437,1240K,Latvia_MN,Latvia,Early Neolithic (EN)
I4627,I4627,1240K,Latvia_MN,Latvia,Early Neolithic (EN)
Latvia_MN2_noUDG.SG,I4631,Shotgun,Latvia_MN_Comb_Ware.SG,Latvia,Early Neolithic (EN)
R9818.SG,R9818,Shotgun,Lebanon_Chhim_Phoenician_contam.SG,Lebanon,Early Middle Ages (EMA)
R3473.SG,R3473,Shotgun,Lebanon_Chhim_Phoenician.SG,Lebanon,Early Middle Ages (EMA)
R3476.SG,R3476,Shotgun,Lebanon_Chhim_Phoenician.SG,Lebanon,Early Middle Ages (EMA)
R3477.SG,R3477,Shotgun,Lebanon_Chhim_Phoenician.SG,Lebanon,Early Middle Ages (EMA)
R9823.SG,R9823,Shotgun,Lebanon_Chhim_Phoenician.SG,Lebanon,Early Middle Ages (EMA)
R12246.SG,R12246,Shotgun,Lebanon_EjJaouze_Phoenician_contam.SG,Lebanon,Early Middle Ages (EMA)
R12229.SG,R12229,Shotgun,Lebanon_EjJaouze_Phoenician.SG,Lebanon,Early Middle Ages (EMA)
R12233.SG,R12233,Shotgun,Lebanon_EjJaouze_Phoenician.SG,Lebanon,Early Middle Ages (EMA)
R12245.SG,R12245,Shotgun,Lebanon_EjJaouze_Phoenician.SG,Lebanon,Early Middle Ages (EMA)
SFI-11_noUDG.SG,SFI-11,Shotgun,Lebanon_ERoman.SG,Lebanon,Classical Antiquity (CA)
SFI-15_noUDG.SG,SFI-15,Shotgun,Lebanon_ERoman.SG,Lebanon,Classical Antiquity (CA)
SFI-24_noUDG.SG,SFI-24,Shotgun,Lebanon_ERoman.SG,Lebanon,Classical Antiquity (CA)
SFI-33_noUDG.SG,SFI-33,Shotgun,Lebanon_ERoman.SG,Lebanon,Classical Antiquity (CA)
SFI-12_noUDG.SG,SFI-12,Shotgun,Lebanon_Hellenistic.SG,Lebanon,Late Iron Age (LIA)
SFI-20_noUDG.SG,SFI-20,Shotgun,Lebanon_Hellenistic.SG,Lebanon,Classical Antiquity (CA)
SFI-5_noUDG.SG,SFI-5,Shotgun,Lebanon_Hellenistic.SG,Lebanon,Late Iron Age (LIA)
SFI-55_noUDG.SG,SFI-55,Shotgun,Lebanon_IA2.SG,Lebanon,Middle Iron Age (MIA)
SFI-56_noUDG.SG,SFI-56,Shotgun,Lebanon_IA2.SG,Lebanon,Middle Iron Age (MIA)
SFI-43_noUDG.SG,SFI-43,Shotgun,Lebanon_IA3_o1_1d.rel.SFI44.SG,Lebanon,Late Iron Age (LIA)
SFI-44_noUDG.SG,SFI-44,Shotgun,Lebanon_IA3_o2.SG,Lebanon,Late Iron Age (LIA)
SFI-34_noUDG.SG,SFI-34,Shotgun,Lebanon_IA3.SG,Lebanon,Late Iron Age (LIA)
SFI-35_noUDG.SG,SFI-35,Shotgun,Lebanon_IA3.SG,Lebanon,Late Iron Age (LIA)
SFI-36_noUDG.SG,SFI-36,Shotgun,Lebanon_IA3.SG,Lebanon,Late Iron Age (LIA)
SFI-39_noUDG.SG,SFI-39,Shotgun,Lebanon_IA3.SG,Lebanon,Late Iron Age (LIA)
SFI-42_noUDG.SG,SFI-42,Shotgun,Lebanon_IA3.SG,Lebanon,Late Iron Age (LIA)
SFI-45_noUDG.SG,SFI-45,Shotgun,Lebanon_IA3.SG,Lebanon,Late Iron Age (LIA)
SFI-47_noUDG.SG,SFI-47,Shotgun,Lebanon_IA3.SG,Lebanon,Late Iron Age (LIA)
SFI-50_noUDG.SG,SFI-50,Shotgun,Lebanon_IA3.SG,Lebanon,Late Iron Age (LIA)
ERS1790729_noUDG.SG,ERS1790729,Shotgun,Lebanon_MBA.SG,Lebanon,Chalcolithic (Copper Age) (C)
ERS1790730_noUDG.SG,ERS1790730,Shotgun,Lebanon_MBA.SG,Lebanon,Chalcolithic (Copper Age) (C)
ERS1790731_noUDG.SG,ERS1790731,Shotgun,Lebanon_MBA.SG,Lebanon,Chalcolithic (Copper Age) (C)
ERS1790732_noUDG.SG,ERS1790732,Shotgun,Lebanon_MBA.SG,Lebanon,Chalcolithic (Copper Age) (C)
